,Job Title,Company,Location,Experience,Salary,Link
1473,Analyst,Tetra Laval,Pune,3-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-analyst-tetra-laval-international-pune-3-to-4-years-011225502853
1474,Data Scientist,Philips,Bengaluru,6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-philips-india-limited-bengaluru-6-to-11-years-011225501805
1475,Mis Executive,Konnect Consultancy,Kota,1-3 Yrs,1.5-3 Lacs PA,https://www.naukri.com/job-listings-mis-executive-konnect-consultants-kota-kota-1-to-3-years-301125004010
1476,Executive - MIS,A One Advisory,"Kolkata, Siliguri, Asansol, Durgapur, Haldia",1-2 Yrs,Not Disclosed,https://www.naukri.com/job-listings-executive-mis-a-one-advisory-kolkata-siliguri-asansol-durgapur-haldia-1-to-2-years-281125500905
1477,OTBI Analyst,Eternus Solutions,"Indore, Pune",7-12 Yrs,Not Disclosed,https://www.naukri.com/job-listings-otbi-analyst-eternus-solutions-now-infobeans-indore-pune-7-to-12-years-261125500478
1478,Data Scientist-Artificial Intelligence,IBM,Pune,5-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-5-to-7-years-251125929935
1479,MIS -Executive,Savvy Search,Coimbatore,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-mis-executive-savvy-search-asia-coimbatore-1-to-4-years-021225504083
1480,MIS - Executive,Savvy Search,Karur,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-mis-executive-savvy-search-asia-karur-1-to-4-years-021225504082
1481,Programmatic Analyst,Quest Global Technologies,Remote,3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-programmatic-analyst-quest-global-technologies-ltd-remote-3-to-8-years-011225504608
1482,"Data Scientist, Python",NatWest Markets,"Gurugram, Bengaluru",6-11 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-python-natwest-group-gurugram-bengaluru-6-to-11-years-011225502800
1483,Data Analyst - BLR,Photon,Bengaluru,6-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-blr-photon-infotech-p-ltd-bengaluru-6-to-9-years-301025504211
1484,Data Analyst,EDGE Executive Search,Hybrid - Gurugram,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-edge-executive-search-gurugram-1-to-3-years-301025012408
1485,Data Analyst,Mhtechin,Pune,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-mhtechin-pune-2-to-5-years-300925502777
1486,Data Analyst,Tudip Technologies,Pune,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-tudip-technologies-pvt-ltd-pune-2-to-7-years-290925502713
1487,Data Analyst,Capillary Technologies,Bengaluru,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-capillary-technologies-india-pvt-ltd-bengaluru-2-to-7-years-281025502122
1488,Data Analyst,SSTech System,Ahmedabad,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-sstech-system-ahmedabad-2-to-4-years-260625502233
1489,Data Expert (Data Modeller + Data Analyst)- Immediate Joiners only,Zetamicron Technologies,"Pune, Chennai",7-12 Yrs,15-25 Lacs PA,https://www.naukri.com/job-listings-data-expert-data-modeller-data-analyst-immediate-joiners-only-zetamicron-technologies-pune-chennai-7-to-12-years-251125027343
1490,Workday Data Analyst,Quarks Technosoft,"Noida, Pune, Bengaluru",4-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-workday-data-analyst-quarks-noida-pune-bengaluru-4-to-8-years-250925501896
1491,Data Analyst L3,Wipro,Pune,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-pune-3-to-5-years-241125926108
1492,Data Analyst L3,Wipro,Pune,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-pune-3-to-5-years-241125925830
1493,Data Governance Analyst,Barclays,Bengaluru,1-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-analyst-barclays-shared-services-bengaluru-1-to-7-years-241125506454
1494,Data Governance Analyst,Msbc Group,Remote,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-governance-analyst-msbc-group-remote-2-to-7-years-241125506056
1495,ESG - Data Analyst,Straive,Remote,0 Yrs,Not Disclosed,https://www.naukri.com/job-listings-esg-data-analyst-straive-chennai-0-to-0-years-231125003241
1496,Data Analyst,Han Digital Solution,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",1-2 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-han-digital-solution-p-hubli-mangaluru-mysuru-bengaluru-belgaum-1-to-2-years-221125501282
1497,Analyst - Data Governance,Nomura,Mumbai,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-analyst-data-governance-nomura-capital-india-private-limited-mumbai-1-to-4-years-221025505689
1498,Data Analyst,Digital Solution Tech,Gurugram,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-digital-solution-tech-gurugram-1-to-4-years-221025502760
1499,Site Data Analyst,Apraava Renewable Energy,"Bhopal, Hamirpur",4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-site-data-analyst-apraava-energy-bhopal-hamirpur-4-to-9-years-220925502420
1500,Data Analyst,Lumina Datamatics,Mumbai,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-lumina-datamatics-mumbai-2-to-7-years-220825502329
1501,Data Analyst,House Of Shipping,"Mumbai, Chennai",8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-house-of-shipping-mumbai-chennai-8-to-13-years-220825501156
1502,Data Analyst,Clifyx Technology,Bengaluru,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-clifyx-technology-bengaluru-1-to-4-years-220725500669
1503,"Data Analyst - Insurance, Reinsurance, or MGA sector",Yarab Technologies,Thiruvananthapuram,2-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-insurance-reinsurance-or-mga-sector-yarab-technologies-thiruvananthapuram-2-to-4-years-211125025079
1504,Online Data Analyst - Odia,TELUS International,Remote,0-2 Yrs,Not Disclosed,https://www.naukri.com/job-listings-online-data-analyst-odia-telus-international-bengaluru-0-to-2-years-211125023932
1505,Data Analyst,Capgemini,Bengaluru,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-bengaluru-2-to-5-years-201125927483
1506,Data Analyst,Boosta,Remote,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-boosta-remote-1-to-3-years-201125502381
